datahora_abertura_solicitacao,id_solicitacao
2024-06-01,1
2024-06-02,10
2024-06-03,262
2024-06-04,240
2024-06-05,293
2024-06-06,311
2024-06-07,187
2024-06-08,3
2024-06-09,13
2024-06-10,253
2024-06-11,249
2024-06-12,262
2024-06-13,267
2024-06-14,200
2024-06-15,1
2024-06-16,4
2024-06-17,184
2024-06-18,214
2024-06-19,200
2024-06-20,285
2024-06-21,257
2024-06-22,9
2024-06-23,5
2024-06-24,221
2024-06-25,211
2024-06-26,279
2024-06-27,261
2024-06-28,135
2024-06-29,3
2024-06-30,4
2024-07-01,224
2024-07-02,220
2024-07-03,205
2024-07-04,262
2024-07-05,134
2024-07-06,1
2024-07-07,1
2024-07-08,220
2024-07-09,119
2024-07-10,222
2024-07-11,265
2024-07-12,174
2024-07-13,3
2024-07-14,1
2024-07-15,195
2024-07-16,258
2024-07-17,147
2024-07-18,188
2024-07-19,202
2024-07-20,2
2024-07-21,2
2024-07-22,171
2024-07-23,232
2024-07-24,200
2024-07-25,285
2024-07-26,238
2024-07-27,4
2024-07-28,5
2024-07-29,239
2024-07-30,184
2024-07-31,230
2024-08-01,120
2024-08-02,304
2024-08-03,6
2024-08-04,5
2024-08-05,207
2024-08-06,232
2024-08-07,205
2024-08-08,229
2024-08-09,302
2024-08-10,0
2024-08-11,4
2024-08-12,241
2024-08-13,248
2024-08-14,222
2024-08-15,304
2024-08-16,208
2024-08-17,1
2024-08-18,3
2024-08-19,216
2024-08-20,211
2024-08-21,203
2024-08-22,381
2024-08-23,186
2024-08-24,2
2024-08-25,2
2024-08-26,268
2024-08-27,213
2024-08-28,287
2024-08-29,324
2024-08-30,181
2024-08-31,3
2024-09-01,0
2024-09-02,220
2024-09-03,242
2024-09-04,200
2024-09-05,220
2024-09-06,291
2024-09-07,0
2024-09-08,7
2024-09-09,230
2024-09-10,189
2024-09-11,201
2024-09-12,281
2024-09-13,192
2024-09-14,0
2024-09-15,3
2024-09-16,253
2024-09-17,204
2024-09-18,242
2024-09-19,376
2024-09-20,145
2024-09-21,1
2024-09-22,10
2024-09-23,178
2024-09-24,204
2024-09-25,185
2024-09-26,214
2024-09-27,222
2024-09-28,0
2024-09-29,2
2024-09-30,230
2024-10-01,257
2024-10-02,153
2024-10-03,172
2024-10-04,194
2024-10-05,1
2024-10-06,3
2024-10-07,212
2024-10-08,188
2024-10-09,182
2024-10-10,211
2024-10-11,128
2024-10-12,1
2024-10-13,4
2024-10-14,220
2024-10-15,248
2024-10-16,307
2024-10-17,147
2024-10-18,194
2024-10-19,5
2024-10-20,4
2024-10-21,191
2024-10-22,185
2024-10-23,196
2024-10-24,164
2024-10-25,144
2024-10-26,1
2024-10-27,1
2024-10-28,272
2024-10-29,200
2024-10-30,219
2024-10-31,249
2024-11-01,220
2024-11-02,5
2024-11-03,0
2024-11-04,146
2024-11-05,167
2024-11-06,171
2024-11-07,234
2024-11-08,114
2024-11-09,2
2024-11-10,1
2024-11-11,170
2024-11-12,207
2024-11-13,283
2024-11-14,135
2024-11-15,15
2024-11-16,1
2024-11-17,3
2024-11-18,215
2024-11-19,285
2024-11-20,40
2024-11-21,343
2024-11-22,86
2024-11-23,4
2024-11-24,3
2024-11-25,241
2024-11-26,224
2024-11-27,227
2024-11-28,174
2024-11-29,167
2024-11-30,2
2024-12-01,6
2024-12-02,165
2024-12-03,192
2024-12-04,174
2024-12-05,256
2024-12-06,83
2024-12-07,0
2024-12-08,1
2024-12-09,144
2024-12-10,126
2024-12-11,136
2024-12-12,145
2024-12-13,65
2024-12-14,2
2024-12-15,3
2024-12-16,33
2024-12-17,31
2024-12-18,39
2024-12-19,24
2024-12-20,44
2024-12-21,0
2024-12-22,0
2024-12-23,23
2024-12-24,4
2024-12-25,1
2024-12-26,20
2024-12-27,20
2024-12-28,0
2024-12-29,0
2024-12-30,6
