uf_comarca,Quantidade de Solicitações na UF,Quantidade de problemas encontrados na UF,Taxa de problemas na UF
AC,42,2,0.047619047619047616
RR,22,1,0.045454545454545456
TO,144,6,0.041666666666666664
CE,1176,32,0.027210884353741496
PR,1982,52,0.026236125126135216
PA,318,8,0.025157232704402517
ES,600,15,0.025
AM,328,8,0.024390243902439025
SP,5402,123,0.022769344687152908
PB,414,9,0.021739130434782608
AL,372,8,0.021505376344086023
RN,240,5,0.020833333333333332
RO,99,2,0.020202020202020204
SE,280,5,0.017857142857142856
AP,57,1,0.017543859649122806
MS,525,9,0.017142857142857144
PI,193,3,0.015544041450777202
RJ,3377,52,0.015398282499259699
MG,3330,48,0.014414414414414415
DF,361,5,0.013850415512465374
RS,4005,48,0.01198501872659176
GO,889,10,0.01124859392575928
PE,1289,14,0.010861132660977503
MA,505,5,0.009900990099009901
MT,424,4,0.009433962264150943
SC,601,3,0.004991680532445923
BA,3023,14,0.004631161098246774
